word,meaning_zh,pos,phonetic_uk,phonetic_us,synonyms,rel_words,exam_level
trade,做买卖；交换,"n, vi",treɪd,tred,commerce | profession | employment | career | pursuit | traffic | exchange | truck,trading | trading | trader | trading,CET6
deal,买卖毒品,"n, vi, vt",diːl,dil,afford | allow | extend | deliver | part | manage | debate | cope with | policy | business | trade | truck,dealing,CET6
hike,作长途徒步旅行,"n, vi, vt",haɪk,haɪk,trip | arise | raise | go up | climb | enhance | raise | walking tour | excursion,hiking | hiker,CET6
action,行动,n,'ækʃ(ə)n,'ækʃən,movement | function | doing | campaign | working,active | activated | actable | actively | active | activity | act | actor | activation | activism | activator | activeness | activated | act | activate | act | activate,CET6
resultant,作为结果而发生的,,,,,,CET6
consequent,作为结果的；必然的,"adj, n",'kɒnsɪkw(ə)nt,'kɑnsəkwənt,outcome | product | result | event | harvest | resulting,consequential | consequently | consequence,CET6
composer,作曲家,n,kəm'pəʊzə,kəm'pozɚ,writer | author | pen,composed | composing | compositional | composition | composing | composed | composing | compose | compose,CET6
slave,作苦工；奴役,"n, vi",sleɪv,sleɪv,bondman | mameluke | labor | work like a dog,slavish | slaveholding | slavishly | slavery | slaver | slaveholder | slaveholding | slaver | slaver,CET6
grunt,作呼噜声；咕哝,"n, vi",grʌnt,ɡrʌnt,oink | harrumph,grunter,CET6
abide,忍受；遵守,"vi, vt",ə'baɪd,ə'baɪd,stomach | go | stand | tough | tolerate | stay | hold | stomach,abiding | abode | abidance | abode | abiding,CET6
value,尊重，重视；估价,"n, vt",'væljuː,'vælju,importance | significance | price | stress | weight | score | rate | prize,valuable | valued | valueless | valuable | valuation | valuableness | valuator | valuer | valuate,CET6
dignity,庄重；尊严；体面,n,'dɪgnɪtɪ,'dɪɡnəti,sanctity | nobility,dignified | dignified | dignify,CET6
outermost,最外面的，最远的,adj,'aʊtəməʊst,'aʊtɚ'most,outmost | farthermost,out | outward | outer | outing | outmost | out | outward | outwardly | out | outward | outer | outing | outness | out | outing | out | out,CET6
optimum,最优的，最适宜的,,'ɒptɪməm,'ɑptəməm,,optimal | optimally | optimization,CET6
initially,最初，开始,adv,ɪ'nɪʃ(ə)lɪ,ɪ'nɪʃəli,originally | firstly | primarily,initial | initial | initialization | initial | initialize | initialise,CET6
makeup,化妆品；性格；构造；组成,n,meɪkʌp,"'mek,ʌp",recruitment | renewal,,CET6
integral,作为组成部分的；内置的,"adj, n",ˈɪntɪɡrəl,'ɪntɪɡrəl,whole | complete | full | intact | proportion | part | portion | percent | fraction,integrate | integrated | integrally | integrity | integrate | integer | integrator | integrality | integrated | integrate | integrate,CET6
composition,组成，构成，结构,n,kɒmpə'zɪʃ(ə)n,",kɑmpə'zɪʃən",synthetic | songwriting,composite | composed | composing | compositional | composite | composer | composing | composed | composing | compose | compose | composite,CET6
block,阻塞；障碍物,"adj, n, vt",blɒk,blɑk,piece | mass | barrier | bottleneck | stem | dispute | prohibit | discourage | batched | wholescale,blocked | blocky | blocking | blockage | blocked | blocking,CET6
damn,谴责,"adj, adv, int, n, vi, vt",dæm,dæm,condemn | denounce | accuse of | brush down | one point | tittle | abhorrent | dad-burned | extremely | badly | highly | greatly | too | dang,damned | damning | damnable | damned | damnably | damnation | damnation | damning | damned | damning,CET6
ample,足够的；宽敞的,adj,'æmp(ə)l,'æmpl,abundant | sufficient | competent | full | plenty,amply | ampleness,CET6
suffice,足够,"vi, vt",sə'faɪs,sə'faɪs,content | gratify | serve | be in a position,sufficient | sufficiently,CET6
lease,租约，契约，租契,"n, vi, vt",liːs,lis,tenancy agreement | rental agreement | rent | hire out | rent | hire out,leased | leased | leaseholder | leased,CET6
charter,包租（飞机、船等）,"n, vt",'tʃɑːtə,'tʃɑrtɚ,license | license | patent | permit,chartered | chartist | chartism | chartered,CET6
headquarters,总部,n,hed'kwɔːtəz,'hɛdkwɔrtɚz,command | main office,,CET6
executive,（机构或公司的）主管，经理,"adj, n",ɪg'zekjʊtɪv; eg-,ɪɡ'zɛkjətɪv,administrative | front-office | manager | gerente,exec | executed | executable | executorial | execution | executor | exec | executioner | executant | executrix | executed | execute,CET6
main,总管道，干线,"adj, n",meɪn,,core | body | chief | heart | essential | primary | major | central | ruling | great,mainly | mainstay | mainspring,CET6
overall,总的,"adj, adv, n",'əʊvərɔːl,",ovə'rɔl",entire | all | corporate | total | universal | outright | jeans | jea,overbearing | overbearing,CET6
conceit,自负，自高自大,"n, vt",kən'siːt,kən'sit,ego | pretentiousness | have vision of | fantasize,conceited | conceitedly | conceitedness,CET6
ultraviolet,紫外（线）的,adj,ʌltrə'vaɪələt,",ʌltrə'vaɪələt",extraviolet,,CET6
descendant,子孙，后裔,"adj, n",dɪ'send(ə)nt,dɪ'sɛndənt,falling | downward | child | seed,descending | descendent | descent | descending | descendent | descender | descending | descend | descend | descent,CET6
endow,资助；赋予,vt,ɪn'daʊ; en-,ɪn'daʊ,gift | put,endowment,CET6
datum,资料；数据；已知数,n,ˈdeɪtəm ; ˈdɑːtəm,ˈdetəm ; ˈdætəm ; (also) ˈdɑtəm,feedback | quantitative data,,CET6
qualification,资格；学历,n,",kwɒlɪfɪ'keɪʃ(ə)n",",kwɑlɪfɪ'keʃən",membership | limitation | capacity | condition | restriction,qualified | qualifying | qualifier | qualified | qualify | qualify,CET6
bourgeois,中产阶级的；庸俗的；资产阶级的,"adj, n",'bʊəʒwɑː,",bʊr'ʒwɑ",capital | middle-class,,CET6
woodpecker,啄木鸟,n,'wʊdpekə,'wʊdpɛkɚ,peckerwood | Marc Dorcel | hickwall,,CET6
bump,撞上,"adv, n, vi, vt",bʌmp,bʌmp,tumor | knub | hit | impact on | crash | to run into | to hit | suddenly | heavily | strong | sharp | hard,bumpy | bumpiness,CET6
crash,（发出巨响的） 猛撞,"adj, n, vi, vt",kræʃ,kræʃ,collision | precipitation | impact | fall of | fall to pieces | hit | impact on | quickie,crashing | crasher | crashing,CET6
way,（特定的）状态，状况,"adv, n",weɪ,we,path | method | direction | orientation | approach | aspect | system | greatly | large,,CET6
superb,壮丽的；超等的,adj,suː'pɜːb; sjuː-,/suːˈpɜːrb/,wonderful | excellent | famous | grand | great,super | superbly | super,CET6
ornament,装饰物,"n, vt",'ɔːnəm(ə)nt,'ɔrnəmənt,decoration | adornment | paint | hang | modify | bedeck,ornamental | ornamentally | ornamental | ornamentation | ornamentalist,CET6
decorative,装饰的；可作装饰的,adj,'dek(ə)rətɪv,'dɛkəretɪv,ornamental,decorated | decoratively | decoration | decor | decorator | decorated | decorate | decorate,CET6
